Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0030199~collagen fibril organization	12	6.122448979591836	4.57032734436508E-14	FMOD, CYP1B1, LMX1B, LUM, COL3A1, COL1A2, FOXC2, COL1A1, LOX, LOXL2, SERPINH1, ANXA2	170	39	18082	32.72760180995475	5.607869724144621E-11	5.607869724144621E-11	7.414069358446795E-11
GOTERM_BP_DIRECT	GO:0032355~response to estradiol	10	5.1020408163265305	4.39742291230216E-7	TXNIP, ALDH1A2, IFI27, CRYAB, ANXA1, TFPI, COL1A1, BMP7, PTGFR, GJB2	170	101	18082	10.531158998252767	5.389788662858441E-4	2.695257552093322E-4	7.128111869314502E-4
GOTERM_BP_DIRECT	GO:0002376~immune system process	15	7.653061224489796	1.5133897662380748E-5	IFITM2, C3, IFITM3, ANXA1, EOMES, H2-D1, SERPING1, H2-AB1, LY9, CD74, IFIT3, IFIT1, H2-EB1, CFH, H2-AA	170	383	18082	4.165719551528183	0.018383227599535812	0.006165680012499508	0.0245289260675019
GOTERM_BP_DIRECT	GO:0001657~ureteric bud development	6	3.061224489795918	8.315650818522882E-5	RET, SDC1, SIX1, FOXC2, BMP7, DLG1	170	48	18082	13.295588235294117	0.09692901473051041	0.025166439310996935	0.134709847284753
GOTERM_BP_DIRECT	GO:0007596~blood coagulation	7	3.571428571428571	1.3572321296692117E-4	THBD, C3, TFPI, SERPING1, PDGFD, SERPIND1, ANXA5	170	84	18082	8.86372549019608	0.15329924959486108	0.03273385163734999	0.2197777137119994
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	6	3.061224489795918	1.468026269863242E-4	H2-EB1, H2-Q1, H2-D1, H2-AA, H2-AB1, CD74	170	54	18082	11.81830065359477	0.16472413608574477	0.029553371909324277	0.23769867631441288
GOTERM_BP_DIRECT	GO:0006955~immune response	11	5.612244897959184	2.461410167774183E-4	ENPP1, H2-EB1, H2-Q1, H2-D1, H2-AA, VTN, COLEC12, H2-AB1, TINAGL1, OAS1G, CD74	170	272	18082	4.3015138408304505	0.26051851291674444	0.04219890454975217	0.3982437376468084
GOTERM_BP_DIRECT	GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II	4	2.0408163265306123	2.706475976942012E-4	H2-EB1, H2-AA, H2-AB1, CD74	170	14	18082	30.389915966386553	0.28241140757062677	0.04063373981233842	0.43781258487347596
GOTERM_BP_DIRECT	GO:0001568~blood vessel development	6	3.061224489795918	5.319389352365094E-4	ALDH1A2, COL3A1, COL1A2, FOXC2, COL1A1, LOX	170	71	18082	8.988566694283348	0.47916951248283135	0.06991675244017248	0.8587831356277054
GOTERM_BP_DIRECT	GO:0007599~hemostasis	5	2.5510204081632653	8.849558827132847E-4	THBD, TFPI, SERPING1, SERPIND1, ANXA5	170	46	18082	11.561381074168798	0.6622455965684804	0.10286024507557834	1.4248821990230032
